City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,tres arroyos,-38.3739,-60.2798,10.02,48,76,4.14,AR,1722819063
240,ulsan,35.5372,129.3167,30.86,65,0,1.71,KR,1722819064
241,manokwari,-0.8667,134.0833,24.02,91,100,1.22,ID,1722818880
242,sinop,41.7711,34.8709,18.6,55,42,1.04,TR,1722819066
243,prince george,53.9166,-122.753,22.69,49,0,6.69,CA,1722819004
244,bubaque,11.2833,-15.8333,26.42,81,100,3.43,GW,1722819068
245,entebbe,0.0644,32.4469,20.18,94,20,1.03,UG,1722819069
246,tambacounda,13.7539,-13.7586,25.03,100,20,1.03,SN,1722819071
247,mhango,-3.2833,32.85,17.2,40,6,1.7,TZ,1722819072
248,penn yan,42.6609,-77.0539,24.51,53,11,1.98,US,1722819073
249,la'ie,21.6477,-157.9253,30.98,69,5,2.24,US,1722819065
250,khandyga,62.6667,135.6,20.89,40,89,3.05,RU,1722819075
251,kenai,60.5544,-151.2583,21.12,59,0,2.57,US,1722819076
252,tazacorte,28.629,-17.9293,22.54,94,75,6.17,ES,1722819077
253,palmer,42.1584,-72.3287,22.78,81,75,3.09,US,1722818806
254,bowen,-20.0167,148.2333,21.68,63,99,4.92,AU,1722819080
255,guerrero negro,27.9769,-114.0611,23.23,72,17,6.44,MX,1722818790
256,flying fish cove,-10.4217,105.6791,23.82,88,75,3.6,CX,1722818862
257,placido de castro,-10.3353,-67.1856,27.27,56,75,1.16,BR,1722819083
258,katsuren-haebaru,26.3369,127.8719,32.83,71,75,6.17,JP,1722819084
259,nouadhibou,20.931,-17.0347,23.99,88,40,4.63,MR,1722819085
260,quellon,-43.1167,-73.6167,7.46,94,100,3.13,CL,1722818775
261,dali,25.7,100.1833,18.42,90,100,0.45,CN,1722819088
262,okazaki,34.95,137.1667,35.99,50,5,1.84,JP,1722819089
263,kananga,-5.8958,22.4178,21.19,31,79,0.55,CD,1722819090
264,meulaboh,4.1363,96.1285,25.34,89,100,1.25,ID,1722819073
265,luwuk,-0.9516,122.7875,25.89,74,100,3.28,ID,1722819092
266,butterworth,5.3991,100.3638,29.02,78,20,1.03,MY,1722819093
267,coronel dorrego,-38.7187,-61.2873,10.83,48,98,4.73,AR,1722819094
268,happy valley-goose bay,53.3168,-60.3315,23.17,46,40,2.57,CA,1722819095
